999999,67,4010,0,00:03:21.900 --> 00:03:22.650,response,Teacher,Farrah,180.1,
999999,67,4010,0,00:03:22.920 --> 00:03:24.180,remark,Farrah,Teacher,180.1,student well that's great thing answer multiple answers sometimes want circle many
999999,67,4010,0,00:03:22.920 --> 00:03:24.180,remark,Farrah,Teacher,180.1,only person student only person said valuable kind told thought valuable
999999,67,4010,0,00:03:22.920 --> 00:03:24.180,remark,Farrah,Teacher,180.1,student okay definitely need oxygen when space don't because don't oxygen there like here
999999,67,4010,0,00:03:22.920 --> 00:03:24.180,remark,Farrah,Teacher,180.1,student student answer wrong
999999,67,4010,0,00:03:22.920 --> 00:03:24.180,remark,Farrah,Teacher,180.1,student need microscope able
999999,67,4010,0,00:03:22.920 --> 00:03:24.180,remark,Farrah,Teacher,180.1,student true could there's enough water 
999999,67,4010,0,00:03:22.920 --> 00:03:24.180,remark,Farrah,Teacher,180.1,well student don't think student answer wrong sweetheart
999999,67,4010,0,00:03:22.920 --> 00:03:24.180,remark,Farrah,Teacher,180.1,student student answer wrong honey student student right
999999,67,4010,0,00:03:22.920 --> 00:03:24.180,remark,Farrah,Teacher,180.1,student scientists found crater full water moon absolutely correct 
999999,67,4010,0,00:03:22.920 --> 00:03:24.180,remark,Farrah,Teacher,180.1,student want back student answer need scientific tool called microscope look really closely very very true 
999999,67,4010,0,00:03:22.920 --> 00:03:24.180,remark,Farrah,Teacher,180.1,student looking equipment definitely found crater full water
999999,67,4010,0,00:03:22.920 --> 00:03:24.180,remark,Farrah,Teacher,180.1,student like connection made there right 
999999,67,4010,0,00:03:22.920 --> 00:03:24.180,remark,Farrah,Teacher,180.1,student thank that's great glad could clarify 
999999,67,4010,0,00:03:22.920 --> 00:03:24.180,remark,Farrah,Teacher,180.1,student that's right weren't wrong
999999,67,4010,0,00:03:22.920 --> 00:03:24.180,remark,Farrah,Teacher,180.1,student would probably need microscope they're going test water
999999,67,4010,0,00:03:22.920 --> 00:03:24.180,remark,Farrah,Teacher,180.1,student orbiter good okay said said small machine student exactly right here
999999,67,4010,0,00:03:22.920 --> 00:03:24.180,remark,Farrah,Teacher,180.1,student don't student answer isn't wrong
999999,67,4010,0,00:03:22.920 --> 00:03:24.180,remark,Farrah,Teacher,180.1,class said scientific tool called microscope which that's answering question right 
999999,67,4010,0,00:03:22.920 --> 00:03:24.180,remark,Farrah,Teacher,180.1,yeah there's usually passage class read didn't equipment used very very right that's good connection student good 
999999,67,4010,0,00:03:22.920 --> 00:03:24.180,remark,Farrah,Teacher,180.1,student okay i've microscope really closely 
999999,67,4010,0,00:03:22.920 --> 00:03:24.180,remark,Farrah,Teacher,180.1,student student answer wrong student right used microscope look very closely okay student right about
999999,67,4010,0,00:03:22.920 --> 00:03:24.180,remark,Farrah,Teacher,180.1,student right small machine correct 
999999,67,4010,0,00:03:22.920 --> 00:03:24.180,remark,Farrah,Teacher,180.1,student right back look text equipment space correct 
999999,67,4010,0,00:03:22.920 --> 00:03:24.180,remark,Farrah,Teacher,180.1,student exactly that's text very good looking text pulling awesome
999999,67,4010,0,00:03:22.920 --> 00:03:24.180,remark,Farrah,Teacher,180.1,student once look student nasa send small machine which correct about well 
999999,67,4010,0,00:03:22.920 --> 00:03:24.180,remark,Farrah,Teacher,180.1,student exactly exactly think three read question understood text evidence
999999,67,4010,0,00:03:22.920 --> 00:03:24.180,remark,Farrah,Teacher,180.1,text very good finding pulling text student 
999999,67,4010,0,00:03:22.920 --> 00:03:24.180,remark,Farrah,Teacher,180.1,think what think class read text understood text
999999,67,4010,0,00:03:22.920 --> 00:03:24.180,remark,Farrah,Teacher,180.1,student student answer wrong student answer right because talking student answer especially talking about equipment said need some microscope look water moon right
999999,67,4010,0,00:03:22.920 --> 00:03:24.180,remark,Farrah,Teacher,180.1,student very good that's very good answer 
999999,67,4010,0,00:03:22.920 --> 00:03:24.180,remark,Farrah,Teacher,180.1,actually oxygen things there moon discover water that's something really goodthank student
999999,67,4010,0,00:03:22.920 --> 00:03:24.180,remark,Farrah,Teacher,180.1,student microscope very good very good there other equipment no ice there other microscope
999999,67,4010,0,00:03:22.920 --> 00:03:24.180,remark,Farrah,Teacher,180.1,absolutely absolutely class seem hitting
999999,67,4010,0,00:03:22.920 --> 00:03:24.180,remark,Farrah,Teacher,180.1,think student really well kind identifying part haven't talked much about that's know found crater full water moon
999999,67,4010,0,00:03:22.920 --> 00:03:24.180,remark,Farrah,Teacher,180.1,important part very good identifying kind like main idea article reading just question might necessarily trying there student talkevidence
999999,67,4010,0,00:03:22.920 --> 00:03:24.180,remark,Farrah,Teacher,180.1,student discovered water right nose 
999999,67,4010,0,00:03:22.920 --> 00:03:24.180,remark,Farrah,Teacher,180.1,student would better answers question wanted make sure perfect might includeask
999999,67,4010,0,00:03:22.920 --> 00:03:24.180,remark,Farrah,Teacher,180.1,student closer there like growth definitely getting closer there starting student sort response need right 
999999,67,4010,0,00:03:22.920 --> 00:03:24.180,remark,Farrah,Teacher,180.1,"student right good that's what trying really want look specific about what student trying look when respond something right, "
999999,67,4010,0,00:03:22.920 --> 00:03:24.180,remark,Farrah,Teacher,180.1,student small machine right perfect what small machine called 
999999,67,4010,0,00:03:22.920 --> 00:03:24.180,remark,Farrah,Teacher,180.1,student student both right which good thing that's great about working groups participate contribute
999999,67,4010,0,00:03:22.920 --> 00:03:24.180,remark,Farrah,Teacher,180.1,right here where couldn't because wouldn't ability look closely student good couldn't moon without student student both right just didn't the 
999999,67,4010,0,00:03:22.920 --> 00:03:24.180,remark,Farrah,Teacher,180.1,student well good liked student answers scientist found crater full water moon using what 
999999,67,4010,0,00:03:22.920 --> 00:03:24.180,remark,Farrah,Teacher,180.1,student absolutely correct errors very valuable when student talking about space raft because takes force stuff right don't heavy water 
999999,67,4010,0,00:03:22.920 --> 00:03:24.180,remark,Farrah,Teacher,180.1,okay student student answer wrong
999999,67,4010,0,00:03:22.920 --> 00:03:24.180,remark,Farrah,Teacher,180.1,"student earlier asked didn't understand student answer wrong student answer never wrong s original answer scientist, learn"
999999,67,4010,0,00:03:22.920 --> 00:03:24.180,remark,Farrah,Teacher,180.1,student that's very good point would need something help find what looking when looking water 
999999,67,4010,0,00:03:22.920 --> 00:03:24.180,remark,Farrah,Teacher,180.1,would like student said scientist found crater full water moon
999999,67,4010,0,00:03:22.920 --> 00:03:24.180,remark,Farrah,Teacher,180.1,student student answer correct need microscope order things very very small smaller what student human eyes 
999999,67,4010,0,00:03:22.920 --> 00:03:24.180,remark,Farrah,Teacher,180.1,that's good that's correct student
