teacher,actor,text,Request (T),Action (S),intent,type,topic,coach_yn,step
67,Teacher,Alright group,,,90,remark,0,1,4
67,Farrah,hi how are you?,,nod yes,90,response,0,1,4
67,Teacher,Good,,,90,remark,0,1,4
67,Teacher,"how are, how is everybody",Question,nod yes,90,remark,0,1,4
67,Farrah,Great we're so excited for your class.,,,90,response,0,1,4
67,Teacher,"that's awesome that's awesome before we get started, I want to ask, if you guys can come up with a name that you want me to call you in the collective so I don't like to say boys and girls and I don't like to say you guys, so do is it a school mascot do you want to be the JET eyes the eagles the ketchup packets, what can I call you as a group ",Task,Verbal Response,140.1,remark,0,1,4
67,Farrah,"Okay, how about how about the wildcats because that's our that's our school team",,,140.1,response,0,1,4
67,Teacher,awesome wildcats I love it okay wildcats,,,,remark,0,1,4
67,Teacher,yes Luis your question.,Question,Respond,,remark,0,1,4
67,Luis,yeah i'm okay I shouldn't be in this group I already know all about space,,,,response,0,1,4
67,Teacher,"that's awesome if you're, then you can help us figure out these couple questions so we're so glad to have you in this group, and you can you can kind of help us to follow the prompts of the, the question that we were that we were answering so i'm so glad you're here all right",,,110.3,remark,0,1,4
67,Teacher,So we all as wild cats were talking about water on the moon right? All right,,,150.1,remark,0,1,4
67,Teacher,yeah Farrah what What was your response to the prompt you remember?,Question,Respond,,remark,0,1,4
67,Farrah,yeah okay um I said that you need a scientific tool called a microscope to look really closely,,,,response,0,1,4
67,Teacher,"that's that's totally correct I think we'd all agree with you that if you had a microscope you would use it to look at water really closely, although let's think about what happens before that point right",,,130.1,remark,0,1,4
67,Teacher,"And Oliver I think you said this, did you say the same thing is that right.",Question,Respond,110.1,remark,0,1,4
67,Oliver,yeah yeah same thing as Farrah,,,,remark,0,1,4
67,Teacher,awesome so Farrah and Oliver get awesome points for circling the parts in the text prompt because that was the the direction so A+  direction for following points,,,310.1,remark,0,1,4
67,Teacher,"So let's think about before we actually look at water with the microscope what equipment did the scientists use to discover the water they found on the moon, so they use the microscope after they had found it, but what did they use to find it Do you remember",,Raise Hand,210.2,remark,0,1,4
67,Teacher,"hi Jazmin I see you've got your hand. we're going to wait because i'm i'm talking to Farrah and deb because this is specific to the question that they that they asked is that OK OK, I put a pin you i'll come back to you",,,110.1,remark,0,1,4
67,Farrah,"As well Okay, you said, what do they use before the microscope and I guess, I guess, I don't really know I don't understand why my answer is wrong.",,Respond,110.1,response,0,1,4
67,Teacher,"Your answer isn't it wrong that they use the microscope to look at the water, but in the text that we just read It describes a piece of machinery that the scientists use to locate that water on the moon",,,410.3,remark,0,1,4
67,Teacher,"Can you and Oliver work together to go back to the text and figure figure out what that machine was called, is that cool?",Task,Discuss,420.3,remark,0,1,4
67,Farrah,yeah yeah we can work together we work together really well,,,,remark,0,1,4
