intent,actor,keys,trigger,text
90,Farrah,,,hi how are you?
90,Farrah,everybody,"how are, how is everybody ",Great we're so excited for your class.
140.1,Farrah,"that's,awesome,that's,awesome,before,started,want,guys,come,name,that,want,call,collective,don't,like,boys,girls,don't,like,guys,school,mascot,want,eyes,eagles,ketchup,packets,what,call,group","that's awesome that's awesome before we get started, I want to ask, if you guys can come up with a name that you want me to call you in the collective so I don't like to say boys and girls and I don't like to say you guys, so do is it a school mascot do you want to be the JET eyes the eagles the ketchup packets, what can I call you as a group  ","Okay, how about how about the wildcats because that's our that's our school team"
140.1,Luis,"told,about,these,kind,thing,that,awesome"," Has he told you about these kind of thing Oh, that is so awesome ","Yeah, he, he talks about it all the time"
140.1,Luis,,," And like, that's how come I know so much about space"
140.1,Farrah,"when,deposit,something,much,what,deposit,have,deposit,really,large,piece,something,smaller,pieces"," When you deposit something, how much do, what do you deposit? Do you have a deposit a really large piece of something or smaller pieces? ","Um, well, I go to the bank with my mom sometimes, and she'll deposit her paycheck, but I don't know if it's like a lot of money or like a small amount of money"
140.1,Farrah,"well,when,think,paycheck,every,week,that,would,smaller,amount,what,would,make,entire,month,that,make,sense","Well, when you think of a paycheck every week that would be a smaller amount for what you would make for the entire month  Does that make sense? "," But I don't I still don't understand why my answer is wrong"
140.1,Farrah,,,"Um, I guess so"
140.1,Farrah,,,But I'm just wanting you to look at it and different views
140.1,Farrah,,," But when you look at it over a whole month that's only a partial of the money"
140.1,Farrah,,," So in one week that might be a lot of money"
140.1,Luis,"have,seen,frost,wintertime,fall,have,seen,your,mom's,windows,grass"," So have you all  you seen frost in the wintertime or in the fall? Have you seen on your mom's car windows or the grass? ","Um, um, yeah, like on a car"
140.1,Jazmin,"what,what,doing,when,he's,investigating,crimes,just,leave,them,unsolved","What, what is he doing when he's investigating crimes  Does he does, he just leave them unsolved at the end ","No no, he goes around and he looks for clues and then he talks to people"
140.1,Jazmin,,," Um, yeah, to kind of find it out"
140.1,Luis,"could,tell,equipment,that,they,took,there,that,they,used,general,while,they,were,space","Could you tell me some equipment that they took up there that they used in general, while they were in space? ","Oh, yeah, I know a lot about that equipment"
140.1,Farrah,"what,thing,that","Yes, what thing that you see ",We plant cells in science class
140.1,Chris,"well,sounds,exciting,enjoy,yourself,nasa"," Well, it sounds exciting  Did you enjoy yourself and NASA? "," It was the coolest ever"
140.1,Chris,,,"Yeah, oh yeah, me and my dad we when we saw like all of these different space shuttles and all of these like different astronauts suits"
140.1,Chris,"that,good,information,anybody,else,have,anything,about,that,input,what,think,about,space"," That is a lot of good information  Does anybody else have anything to say about that? Any input on what you think about space? ","Yes, yes"
140.1,Chris,,," My dad, me and my dad went to NASA, so I know that scientists use a lot of equipment, like oxygen tanks and masks and suits to--"
