rerid,speaker,intent,text,,,,
1,Teacher,110.1,"Okay, let me let me talk with STUDENT for just a moment and I'll come back to you.",,,,
1,Teacher,110.1,"Okay, STUDENT. Let's hold on just a second. Keep your thoughts, just for a moment. Let's, STUDENT, let's go back to each for just a minute. Tell me about your answer.",,,,
1,Teacher,110.1,There you go.,,,,
1,Teacher,110.1,Gotcha. Okay. Thank you for clarifying that.,,,,
1,Teacher,110.1,"Okay, that is the name of the small machine.",,,,
1,Teacher,110.1,There you go. Very good. That is correct. So that is the answer that we're looking for. STUDENT. Thank you.,,,,
1,Teacher,110.1,"There you go. There's something small that they're looking at, it is the water. Good job.",,,,
1,Teacher,110.1,"Correct. I would, I would agree with that. ",,,,
1,Teacher,110.1,That's a good answer. ,,,,
1,Teacher,110.1,I think you're correct. Absolutely. Great job.,,,,
1,Teacher,110.1,Absolutely. Thank you for sharing now,,,,
1,Teacher,110.1,Phenomenal. That's good. That's good. I'm proud of you,,,,
1,Teacher,110.1,"You're close, but not quite there.",,,,
1,Teacher,110.1,You're almost there.,,,,
1,Teacher,110.1,"Oh good. Good job. Great job. All of you guys, I appreciate all of you guys volunteered to read, and you've all done a very good job. ",,,,
1,Teacher,110.1,"STUDENT, you said.",,,,
1,Teacher,110.1,"Teacher: Okay so STUDENT, you said in one of your responses that scientists found craters full of water on the moon.",,,,
1,Teacher,110.2,"Well, it definitely helped them because you know in space there's not a lot of oxygen. So, you have to have those tanks to help you breathe. So that was one equipment that they did use. [Text does not discuss tanks or humans going to the moon.]",,,,
1,Teacher,110.2,"You guys said they use a scientific tool called a microscope, which answers the question. Right? [The lunar orbiter is the correct answer.]",,,,
1,Teacher,110.2,"Okay, so that could be one use of water.",,,,
1,Teacher,110.2,I didn't say your answer was wrong.",,,,
1,Teacher,110.2,"Your answer is not wrong, it's right, and there's another piece of equipment too.",,,,
1,Teacher,110.2,Yeah", they looked at it really close with the microscope. So, you weren't exactly wrong. Um, so yeah, good job.",,,,
1,Teacher,110.3,So always remember that you have a lot of experience.,,,,
1,Teacher,110.3,"Yeah, that's great. That's a great connection. How neat that you've been to NASA before I love that.",,,,
1,Teacher,110.3,"Yeah, well, we always have a good background knowledge of space. And that's really cool that you're interested in it.",,,,
1,Teacher,110.3,"I bet STUDENT could confirm that about his dad probably has told him too, right STUDENT?",,,,
1,Teacher,110.3,"Well, that's awesome. So maybe you can help us teach others since you know.",,,,
1,Teacher,110.3,"I'm sure they do, and I bet that STUDENT could probably tell you more and you can share that information together.",,,,
1,Teacher,110.3,"Well you know what, because you do know a lot and that means you can help the rest of us out that don't know as much as you.",,,,
1,Teacher,110.3,"Good. So sometimes if you already know something, I think we can always learn more about it. Or maybe you could see if your classmates, maybe they don't know it, and they need your help.",,,,
1,Teacher,110.4,So the machine was the Lunar Orbiter. So why don't you go ahead and circle that and then I'm going to come back to you in just a moment.,,,,
1,Teacher,110.4,Mhmm. It's the lunar orbiter that they sent to look for the water.,,,,
1,Teacher,110.4,It is very heavy. Going back to your first statement so transporting it would be something that we would have to do.,,,,
1,Teacher,120.1,Is that all they used?,,,,
1,Teacher,120.1,Does that seem right to everyone?,,,,
1,Teacher,120.1,Good. Okay. So I want you to read over that for a minute and see if anything sticks out that is believable is it convincing that water is a valuable resource. Okay. So take a minute to do that.,,,,
1,Teacher,120.1,"Teacher: Yeah, and STUDENT, you also hit on that to do you have a question or a comment you wanted to add",,,,
1,Teacher,120.2,"All right, so STUDENT , the question was what equipment did scientists use to discover water on the moon?",,,,
1,Teacher,120.2,We're trying to figure out what equipment did scientists use to discover the water on the moon?,,,,
1,Teacher,120.2,Does it say anything about the equipment that they used?,,,,
1,Teacher,120.2," Oh, no, no, it talks about the craters not the equipment",,,,
1,Teacher,120.2,So we need to find the equipment that they used,,,,
1,Teacher,120.3,"So, can one of you, would one of you like to volunteer to read the first paragraph?",,,,
1,Teacher,120.3,"Okay. Would you like STUDENT , would you like to read the second paragraph?",,,,
1,Teacher,120.3,"So, if you all would look at paragraph two, it has a two labeled.",,,,
1,Teacher,120.3,"Okay, so everybody look at your paper. Let's look at paragraph two. STUDENT, can you just read that for me again?",,,,
1,Teacher,120.3,Will you read it one more time for me?,,,,
1,Teacher,120.3,"So um, STUDENT  or STUDENT, are any of you ready to dig deeper in the text and tell me another answer?",,,,
1,Teacher,120.3,Look again at the text and see if you can find a better answer.,,,,
1,Teacher,120.3,"And STUDENT , can you please read the question again?",,,,
1,Teacher,120.3,"And again, STUDENT, what was the question?",,,,
1,Teacher,120.3,"STUDENT, take a look at the question for me.",,,,
1,Teacher,120.3,"Paragraph two, I'm going to read and I want you to follow along. It says, NASA sent a small machine called a lunar Lunar Orbiter to investigate this lunar orbiter land at the moon South Pole and look for ice deposits in a large polar crater. OK, now I'm going to stop there.",,,,
1,Teacher,120.4,STUDENT . Would you remind me of your answer again?,,,,
1,Teacher,120.4,"STUDENT, what are you thinking about the question?",,,,
1,Teacher,120.4,"Okay, so what is your answer to the discussion question?",,,,
1,Teacher,120.4,Okay. Does anyone want to raise their hand and tell me what they think the action word is?,,,,
1,Teacher,130.1,So a scientific tool called the microscope is a correct answer for looking at the water. ,,,,
1,Teacher,130.1,You've got a piece of it. ,,,,
1,Teacher,130.1,They used the lunar orbiter and the microscope to find the craters full of water.,,,,
1,Teacher,130.1,You're both partially right.They used a small machine  to investigate craters and a microscopeto look closely at the water.,,,,
1,Teacher,130.2,"I wonder, maybe STUDENT can help us out because I sent him on this mission to find this answer.",,,,
1,Teacher,130.2,"STUDENT, I want you to find the name of the machine for us.",,,,
1,Teacher,130.2,"STUDENT , can you explain what discover means?",,,,
1,Teacher,130.2,"She said a microscope is used to see things that are really small. Why do you think the scientists would need to use the microscope to see the water? Yes, Dev?",,,,
1,Teacher,130.2,"Right, so that's why I was looking at STUDENT's answer. And she said, NASA sent a small machine. And what else could she have put instead of just a small machine?",,,,
1,Teacher,130.2,Would anyone else like to build on his response?,,,,
1,Teacher,130.2,"Right, you find something. Do you agree with that everybody?",,,,
1,Teacher,130.2,"Very good, STUDENT. Does everybody else agree with her answer?",,,,
1,Teacher,130.2,"STUDENT , would you agree with what STUDENT said?",,,,
1,Teacher,130.2,Or did anyone else find anything different?,,,,
1,Teacher,130.2,With a partner read the text again and see if you can find the answer.,,,,
1,Teacher,130.2,Work in small groups to compare your answers.,,,,
1,Teacher,130.3,"So, they wouldn't exactly be using their tanks and their masks to find the water on the moon. That's just part of their work uniform and protective clothing.",,,,
1,Teacher,130.3,"In the first sentence, it actually says that NASA sent a small machine called a lunar orbiter to investigate. This lunar orbiter looks for ice deposits in a large polar crater. So, this is the machine that actually went and explored.",,,,
1,Teacher,130.3,They didn't really use a microscope to find the water. The water was located underneath the ground.,,,,
1,Teacher,130.3,"So, to make our answer better, we could say NASA sent a small machine called a lunar orbiter.",,,,
1,Teacher,130.3,"Discover is when we find it. So we have to find it first. And we're going to use the Lunar Orbiter to find it before we can look at it. So, do you understand how we could improve your answer?",,,,
1,Teacher,130.3,"Okay. Well, if we look back in the number three it says, that means that the moon is still drier than the driest desert on Earth. The water they found is microscopic. So the water is very small.",,,,
1,Teacher,130.3,"But I do think based on paragraph five, whenever it talks about using the oxygen in the hydrogen and breaking it up to use it for a different things. I think that is very valuable.",,,,
1,Teacher,140.1,"STUDENT , you went to NASA? How was that?",,,,
1,Teacher,140.1,"That's really good. Well, it sounds exciting. Did you enjoy yourself and NASA?",,,,
1,Teacher,140.1,"STUDENT, so what do you know about space?",,,,
1,Teacher,140.1,Did you like using the microscope in science class?,,,,
1,Teacher,140.1,"Okay. When you deposit something, how much do you deposit? Do you have to deposit a really large piece of something or smaller pieces? [The conversation then leads to talking about deposits in a bank, but no explicit connection to ice deposits.]",,,,
1,Teacher,140.1,"Now we're not scientist and we're not astronauts and there's some things that we do know. But right now, you every one of your student at school, right. So what's an equipment you have right now. Thats helping you with your work, STUDENT .",,,,
